empties,exact,probe2,probe4,probe6,probe8,probe10,nprobe2,nprobe4,nprobe6,nprobe8,nprobe10
10,10,0.90,3.74,3.84,8.14,0.00,5.05,3.79,3.37,6.99,4.21
10,18,23.92,22.59,23.18,17.19,-0.00,20.68,18.65,19.92,17.88,4.23
10,-10,2.34,-1.16,-7.19,-10.47,0.00,5.39,-1.20,-7.13,-10.47,2.80
10,-40,-24.07,-22.93,-32.12,-41.46,0.00,-32.22,-28.91,-35.89,-41.28,3.09
10,10,11.36,6.35,10.95,9.74,0.00,13.86,7.65,10.99,8.79,5.29
10,-16,-15.92,-15.72,-14.11,-12.03,0.00,-15.83,-17.07,-14.41,-13.54,2.31
10,6,7.42,5.80,6.33,7.80,0.00,10.27,4.91,5.49,6.20,3.40
10,-8,10.69,7.49,-2.51,-9.40,0.00,10.48,3.23,-2.66,-5.06,2.71
10,10,5.57,7.47,9.66,10.43,0.00,9.67,10.13,10.51,10.09,4.70
10,-4,-4.70,-7.93,-8.60,-2.46,0.00,-2.64,-5.55,-7.78,-1.10,2.83
12,0,1.85,-1.39,-0.95,-0.60,0.71,2.71,-0.91,-0.98,-0.80,1.43
12,6,5.87,8.40,4.37,5.70,7.76,7.86,6.81,3.26,6.04,6.76
12,2,7.60,10.29,8.19,5.65,3.51,8.64,10.61,10.55,5.74,3.41
12,8,9.87,12.10,13.18,12.18,8.41,8.46,7.57,11.97,9.78,8.87
12,-30,-26.10,-25.07,-26.68,-23.21,-26.63,-31.31,-27.42,-30.90,-25.78,-26.19
12,2,19.29,11.44,8.76,8.98,6.10,13.49,5.64,6.52,6.51,6.47
12,14,-19.23,-22.63,-19.27,-3.08,4.11,-11.48,-11.46,-12.29,1.11,10.90
12,2,-8.42,-12.12,-10.42,-7.98,-4.11,-8.20,-7.19,-5.86,-4.15,1.05
12,-12,-7.17,-11.03,-8.33,-11.31,-12.47,-14.38,-11.47,-9.87,-12.46,-11.33
12,20,4.31,1.69,7.14,11.61,13.67,6.95,5.04,10.63,13.46,15.58
14,16,16.20,14.11,16.54,19.47,17.79,20.58,18.73,18.13,22.03,17.38
14,10,9.11,12.25,8.65,10.40,9.14,14.64,13.03,8.77,9.66,8.30
14,0,-2.19,-3.09,-5.57,-3.03,1.26,-1.27,-2.54,-1.36,-2.00,2.03
14,12,11.61,15.74,14.31,13.81,12.37,13.26,14.99,13.54,18.46,15.95
14,6,5.85,8.68,9.25,7.51,5.04,7.32,8.48,9.71,10.35,6.46
14,-10,-9.84,-11.77,-11.64,-9.56,-10.29,-11.64,-11.69,-10.29,-8.00,-11.06
14,-12,-8.21,-10.32,-11.05,-13.08,-13.73,-9.78,-11.57,-11.86,-14.25,-15.46
14,-2,-3.29,-2.25,-2.37,-3.68,2.38,0.23,0.36,1.35,0.92,-0.94
14,10,8.44,13.07,7.65,11.97,12.27,10.14,16.02,10.48,15.00,12.16
14,10,8.99,10.01,7.68,7.61,8.22,12.55,11.24,10.16,9.01,7.46
16,-8,-10.79,-9.46,-9.20,-8.28,-8.63,-9.02,-7.90,-7.12,-9.86,-10.78
16,2,2.57,-2.67,3.48,2.95,4.88,0.12,-4.86,4.09,3.45,4.60
16,-4,-3.43,-1.61,-3.63,-4.55,-4.58,-5.36,-6.26,-4.69,-2.92,-2.25
16,2,-1.85,-0.02,3.58,3.80,6.46,1.02,0.91,5.02,3.47,5.75
16,-12,-14.87,-7.11,-7.55,-11.17,-8.02,-14.81,-3.81,-7.50,-9.08,-7.84
